# z dn_dz
2.600000000000000089e+00 1.834850228330618324e-02
2.625000000000000000e+00 3.141076457840070307e-02
2.650000000000000355e+00 8.695828007639367502e-03
2.675000000000000266e+00 1.401293792556532365e-02
2.700000000000000178e+00 1.751704343791924551e-02
2.725000000000000089e+00 0.000000000000000000e+00
2.750000000000000000e+00 3.566378043809157600e-02
2.775000000000000355e+00 2.067164583335095313e-02
2.800000000000000266e+00 1.472373364833895297e-02
2.825000000000000178e+00 0.000000000000000000e+00
2.850000000000000089e+00 6.201302432500313024e-03
2.875000000000000000e+00 1.620248212114549797e-03
2.900000000000000355e+00 0.000000000000000000e+00
2.925000000000000266e+00 2.606230034973634410e-02
2.950000000000000178e+00 1.520614393007484709e-02
2.975000000000000089e+00 1.790438936287594429e-02
3.000000000000000000e+00 0.000000000000000000e+00
3.025000000000000355e+00 1.102928929232443664e-02
3.050000000000000266e+00 4.896888664770135055e-03
3.075000000000000178e+00 1.052057516038292645e-02
3.100000000000000089e+00 0.000000000000000000e+00
3.125000000000000000e+00 0.000000000000000000e+00
3.150000000000000355e+00 0.000000000000000000e+00
3.175000000000000266e+00 4.203773994162547482e-03
3.200000000000000178e+00 4.896888664770135055e-03
3.225000000000000089e+00 0.000000000000000000e+00
3.250000000000000000e+00 1.417747610773216309e-02
3.275000000000000355e+00 0.000000000000000000e+00
3.300000000000000266e+00 1.417747610773241462e-02
3.325000000000000178e+00 2.789071842990980578e-03
3.350000000000000089e+00 0.000000000000000000e+00
3.375000000000000000e+00 0.000000000000000000e+00
3.400000000000000355e+00 0.000000000000000000e+00
3.425000000000000266e+00 0.000000000000000000e+00
3.450000000000000178e+00 0.000000000000000000e+00
3.475000000000000089e+00 0.000000000000000000e+00
3.500000000000000000e+00 0.000000000000000000e+00
3.525000000000000355e+00 0.000000000000000000e+00
3.550000000000000266e+00 0.000000000000000000e+00
3.575000000000000178e+00 0.000000000000000000e+00
3.600000000000000089e+00 0.000000000000000000e+00
3.625000000000000000e+00 0.000000000000000000e+00
3.650000000000000355e+00 0.000000000000000000e+00
3.675000000000000266e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.725000000000000089e+00 0.000000000000000000e+00
3.750000000000000000e+00 0.000000000000000000e+00
3.775000000000000355e+00 0.000000000000000000e+00
3.800000000000000266e+00 0.000000000000000000e+00
3.825000000000000178e+00 0.000000000000000000e+00
3.850000000000000089e+00 0.000000000000000000e+00
3.875000000000000000e+00 0.000000000000000000e+00
3.900000000000000355e+00 0.000000000000000000e+00
3.925000000000000266e+00 0.000000000000000000e+00
3.950000000000000178e+00 0.000000000000000000e+00
3.975000000000000089e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
4.025000000000000355e+00 0.000000000000000000e+00
4.049999999999999822e+00 0.000000000000000000e+00
4.075000000000000178e+00 8.177424437806814651e-04
4.100000000000000533e+00 0.000000000000000000e+00
4.125000000000000000e+00 0.000000000000000000e+00
4.150000000000000355e+00 0.000000000000000000e+00
4.174999999999999822e+00 0.000000000000000000e+00
4.200000000000000178e+00 0.000000000000000000e+00
4.225000000000000533e+00 0.000000000000000000e+00
4.250000000000000000e+00 0.000000000000000000e+00
4.275000000000000355e+00 0.000000000000000000e+00
4.299999999999999822e+00 0.000000000000000000e+00
4.325000000000000178e+00 0.000000000000000000e+00
4.350000000000000533e+00 0.000000000000000000e+00
4.375000000000000000e+00 0.000000000000000000e+00
4.400000000000000355e+00 0.000000000000000000e+00
4.424999999999999822e+00 0.000000000000000000e+00
4.450000000000000178e+00 0.000000000000000000e+00
4.475000000000000533e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.525000000000000355e+00 3.727271111833902373e-05
4.549999999999999822e+00 0.000000000000000000e+00
4.575000000000000178e+00 0.000000000000000000e+00
4.600000000000000533e+00 0.000000000000000000e+00
4.625000000000000000e+00 0.000000000000000000e+00
4.650000000000000355e+00 0.000000000000000000e+00
4.674999999999999822e+00 0.000000000000000000e+00
4.700000000000000178e+00 0.000000000000000000e+00
4.725000000000000533e+00 0.000000000000000000e+00
4.750000000000000000e+00 0.000000000000000000e+00
4.775000000000000355e+00 0.000000000000000000e+00
4.800000000000000711e+00 0.000000000000000000e+00
4.825000000000000178e+00 0.000000000000000000e+00
4.850000000000000533e+00 0.000000000000000000e+00
4.875000000000000000e+00 0.000000000000000000e+00
4.900000000000000355e+00 0.000000000000000000e+00
4.925000000000000711e+00 0.000000000000000000e+00
4.950000000000000178e+00 0.000000000000000000e+00
4.975000000000000533e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00
